============================= test session starts ==============================
platform linux -- Python 3.12.3, pytest-9.0.3, pluggy-1.6.0 -- /home/lulu/investments-assistant/investments-assistant-local-machine/.venv/bin/python
cachedir: .pytest_cache
rootdir: /home/lulu/investments-assistant/investments-assistant-local-machine
configfile: pyproject.toml
plugins: anyio-4.13.0, asyncio-1.3.0, cov-7.1.0
tests/unit/portfolio_replay_test.py::test_split_and_dividend_are_ledger_events_without_double_counting PASSED [ 67%]
tests/unit/portfolio_replay_test.py::test_sma_requires_a_cross_not_merely_an_initial_uptrend PASSED [ 67%]
tests/unit/portfolio_replay_test.py::test_rsi_trade_signals_match_retained_wilder_indicator PASSED [ 67%]
tests/unit/portfolio_test.py::TestCollectBroker::test_appends_account_and_position PASSED [ 67%]
tests/unit/portfolio_test.py::TestCollectBroker::test_account_error_not_appended PASSED [ 68%]
tests/unit/portfolio_test.py::TestCollectBroker::test_position_error_not_appended PASSED [ 68%]
tests/unit/portfolio_test.py::TestCollectBroker::test_exception_logged_and_skipped PASSED [ 68%]
tests/unit/portfolio_test.py::TestCollectBroker::test_missing_market_value_is_unavailable PASSED [ 68%]
tests/unit/portfolio_test.py::TestCollectBroker::test_unrealized_pnl_from_unrealized_pl_key PASSED [ 69%]
tests/unit/portfolio_test.py::TestGetPortfolioSummary::test_all_brokers_queried_when_no_filter PASSED [ 69%]
tests/unit/portfolio_test.py::TestGetPortfolioSummary::test_single_broker_filter PASSED [ 69%]
tests/unit/portfolio_test.py::TestGetPortfolioSummary::test_totals_preserve_source_precision PASSED [ 69%]
tests/unit/portfolio_test.py::TestGetPortfolioSummary::test_returns_expected_structure PASSED [ 70%]
tests/unit/portfolio_test.py::TestGetAccountInfo::test_known_broker_dispatched PASSED [ 70%]
tests/unit/portfolio_test.py::TestGetAccountInfo::test_unknown_broker_returns_error PASSED [ 70%]
tests/unit/portfolio_test.py::TestGetTradeHistory::test_unknown_broker_returns_error_list PASSED [ 70%]
tests/unit/portfolio_test.py::TestGetTradeHistory::test_known_broker_dispatched PASSED [ 71%]
tests/unit/public_fetch_test.py::test_non_public_dns_is_denied_before_connect[127.0.0.1] PASSED [ 71%]
tests/unit/public_fetch_test.py::test_non_public_dns_is_denied_before_connect[10.0.0.1] PASSED [ 71%]
tests/unit/public_fetch_test.py::test_non_public_dns_is_denied_before_connect[169.254.169.254] PASSED [ 71%]
tests/unit/public_fetch_test.py::test_non_public_dns_is_denied_before_connect[::1] PASSED [ 72%]
tests/unit/public_fetch_test.py::test_non_public_dns_is_denied_before_connect[::ffff:127.0.0.1] PASSED [ 72%]
tests/unit/public_fetch_test.py::test_dns_is_pinned_and_mixed_public_private_answer_is_rejected PASSED [ 72%]
tests/unit/public_fetch_test.py::test_invalid_schemes_credentials_and_ports_never_connect[file:///etc/passwd] PASSED [ 72%]
tests/unit/public_fetch_test.py::test_invalid_schemes_credentials_and_ports_never_connect[http://example.com] PASSED [ 73%]
tests/unit/public_fetch_test.py::test_invalid_schemes_credentials_and_ports_never_connect[https://user:password@example.com] PASSED [ 73%]
tests/unit/public_fetch_test.py::test_invalid_schemes_credentials_and_ports_never_connect[https://example.com:22] PASSED [ 73%]
tests/unit/public_fetch_test.py::test_redirect_target_revalidated_and_response_bound PASSED [ 73%]
tests/unit/public_fetch_test.py::test_transition_addresses_cannot_tunnel_to_private_ipv4[64:ff9b::7f00:1] PASSED [ 74%]
tests/unit/public_fetch_test.py::test_transition_addresses_cannot_tunnel_to_private_ipv4[2002:7f00:1::1] PASSED [ 74%]
tests/unit/research_replay_test.py::test_signal_cannot_fill_its_own_bar_and_no_invented_terminal_sale PASSED [ 74%]
tests/unit/research_replay_test.py::test_known_costs_reduce_equity_and_cash_cannot_go_negative PASSED [ 74%]
tests/unit/research_replay_test.py::test_volume_partial_fill_and_no_stale_residual_replay PASSED [ 75%]
tests/unit/research_replay_test.py::test_split_and_dividend_conserve_wealth_with_explicit_cash_flow PASSED [ 75%]
tests/unit/research_replay_test.py::test_late_available_news_and_syndication_do_not_create_early_signal PASSED [ 75%]
tests/unit/research_replay_test.py::test_stale_or_future_fx_and_input_fingerprints PASSED [ 75%]
tests/unit/scheduler_identity_test.py::test_degraded_scan_persists_stream_then_reports_job_failure PASSED [ 76%]
tests/unit/simulator_test.py::TestCrossoverSignal::test_buy_when_fast_crosses_above_slow PASSED [ 76%]
tests/unit/simulator_test.py::TestCrossoverSignal::test_sell_when_fast_crosses_below_slow PASSED [ 76%]
tests/unit/simulator_test.py::TestCrossoverSignal::test_none_when_no_crossover PASSED [ 76%]
tests/unit/simulator_test.py::TestCrossoverSignal::test_none_when_values_equal PASSED [ 77%]
tests/unit/simulator_test.py::TestCrossoverSignal::test_buy_at_exact_equality_boundary PASSED [ 77%]
tests/unit/simulator_test.py::TestMetrics::test_empty_series_returns_empty_dict PASSED [ 77%]
tests/unit/simulator_test.py::TestMetrics::test_single_element_returns_empty_dict PASSED [ 77%]
tests/unit/simulator_test.py::TestMetrics::test_positive_return_computed PASSED [ 78%]
tests/unit/simulator_test.py::TestMetrics::test_negative_return_computed PASSED [ 78%]
tests/unit/simulator_test.py::TestMetrics::test_zero_volatility_gives_zero_sharpe PASSED [ 78%]
tests/unit/simulator_test.py::TestMetrics::test_max_drawdown_negative PASSED [ 78%]
tests/unit/simulator_test.py::TestMetrics::test_keys_present PASSED      [ 79%]
tests/unit/simulator_test.py::TestRunSimulation::test_buy_and_hold_returns_result PASSED [ 79%]
tests/unit/simulator_test.py::TestRunSimulation::test_sma_crossover_strategy PASSED [ 79%]
tests/unit/simulator_test.py::TestRunSimulation::test_rsi_mean_reversion_strategy PASSED [ 79%]
tests/unit/simulator_test.py::TestRunSimulation::test_unknown_strategy_returns_error PASSED [ 80%]
tests/unit/simulator_test.py::TestRunSimulation::test_empty_prices_returns_error PASSED [ 80%]
tests/unit/simulator_test.py::TestRunSimulation::test_download_failure_returns_error PASSED [ 80%]
tests/unit/web_routes_test.py::TestHealthEndpoint::test_returns_200 PASSED [ 80%]
tests/unit/web_routes_test.py::TestHealthEndpoint::test_response_contains_expected_keys PASSED [ 81%]
tests/unit/web_routes_test.py::TestHealthEndpoint::test_llama_cpp_returns_model_path PASSED [ 81%]
tests/unit/web_routes_test.py::TestHealthEndpoint::test_trading_mode_reflected PASSED [ 81%]
tests/unit/web_routes_test.py::TestAuthenticationEndpoints::test_invalid_login_is_generic PASSED [ 81%]
tests/unit/web_routes_test.py::TestAuthenticationEndpoints::test_login_issues_session_and_me_endpoint_accepts_it PASSED [ 82%]
tests/unit/web_routes_test.py::TestAuthenticationEndpoints::test_registration_creates_user_and_issues_isolated_session PASSED [ 82%]
tests/unit/web_routes_test.py::TestAuthenticationEndpoints::test_registration_rejects_mismatched_passwords PASSED [ 82%]
tests/unit/web_routes_test.py::TestAuthenticationEndpoints::test_profile_is_persisted_for_authenticated_user PASSED [ 82%]
tests/unit/web_routes_test.py::TestAuthenticationEndpoints::test_delete_conversation_removes_owned_transcript PASSED [ 83%]
tests/unit/web_routes_test.py::TestAuthenticationEndpoints::test_delete_conversation_cannot_cross_user_boundary PASSED [ 83%]
tests/unit/web_routes_test.py::TestAuthenticationEndpoints::test_history_returns_only_chat_roles_for_authenticated_session PASSED [ 83%]
tests/unit/web_routes_test.py::TestMarketSnapshotEndpoint::test_returns_snapshot_when_available PASSED [ 84%]
tests/unit/web_routes_test.py::TestMarketSnapshotEndpoint::test_returns_message_when_snapshot_not_available PASSED [ 84%]
tests/unit/web_routes_test.py::TestListReportsEndpoint::test_returns_list_of_reports PASSED [ 84%]
tests/unit/web_routes_test.py::TestListReportsEndpoint::test_db_error_returns_500 PASSED [ 84%]
tests/unit/web_routes_test.py::TestSimulationEndpoints::test_lists_saved_simulations PASSED [ 85%]
tests/unit/web_routes_test.py::TestSimulationEndpoints::test_create_runs_fake_money_only_and_persists_result PASSED [ 85%]
tests/unit/web_routes_test.py::TestListTradesEndpoint::test_returns_list_of_trades PASSED [ 85%]
tests/unit/web_routes_test.py::TestListTradesEndpoint::test_empty_trades_returns_empty_list PASSED [ 85%]
tests/unit/web_routes_test.py::TestListTradesEndpoint::test_db_error_returns_500 PASSED [ 86%]
tests/unit/web_routes_test.py::TestRequireAllowedIp::test_allowed_ip_gets_through PASSED [ 86%]
tests/unit/web_routes_test.py::TestRequireAllowedIp::test_blocked_ip_returns_403 PASSED [ 86%]
tests/unit/web_routes_test.py::TestRequireAllowedIp::test_development_mode_bypasses_ip_check PASSED [ 86%]
tests/unit/workloads_test.py::test_cancelled_worker_retains_capacity_until_it_actually_finishes PASSED [ 87%]
tests/unit/workloads_test.py::test_timeout_preserves_context_and_synchronous_admission_boundary PASSED [ 87%]
tests/integration/bank_sync_test.py::test_refresh_idempotency_revision_and_category_override PASSED [ 87%]
tests/integration/bank_sync_test.py::test_failure_does_not_advance_checkpoint_and_retry_recovers PASSED [ 87%]
tests/integration/bank_sync_test.py::test_invalid_batch_is_atomic_and_revoked_consent_disconnects PASSED [ 88%]
tests/integration/bank_sync_test.py::test_account_and_user_binding PASSED [ 88%]
tests/integration/bank_sync_test.py::test_reconnect_keeps_account_identity_and_checkpoint PASSED [ 88%]
tests/integration/db_models_test.py::TestChatMessageModel::test_insert_and_retrieve PASSED [ 88%]
tests/integration/db_models_test.py::TestChatMessageModel::test_id_auto_generated PASSED [ 89%]
tests/integration/db_models_test.py::TestChatMessageModel::test_tool_calls_json_column PASSED [ 89%]
tests/integration/db_models_test.py::TestTradeModel::test_insert_and_retrieve PASSED [ 89%]
tests/integration/db_models_test.py::TestTradeModel::test_optional_fields_nullable PASSED [ 89%]
tests/integration/db_models_test.py::TestNewsArticleModel::test_insert_and_retrieve PASSED [ 90%]
tests/integration/db_models_test.py::TestNewsArticleModel::test_url_uniqueness_constraint PASSED [ 90%]
tests/integration/db_models_test.py::TestNewsArticleModel::test_full_text_search_index_usable PASSED [ 90%]
tests/integration/db_models_test.py::TestDailyPnLModel::test_unique_date_is_scoped_to_user PASSED [ 90%]
tests/integration/db_models_test.py::TestDailyPnLModel::test_defaults PASSED [ 91%]
tests/integration/execution_test.py::test_approval_is_independent_single_use_and_immutable PASSED [ 91%]
tests/integration/execution_test.py::test_edited_order_cannot_use_previous_approval PASSED [ 91%]
tests/integration/execution_test.py::test_partial_duplicate_late_ack_and_commissions PASSED [ 91%]
tests/integration/execution_test.py::test_uncertain_submission_reserves_and_cancel_fill_race_halts PASSED [ 92%]
tests/integration/execution_test.py::test_protected_stale_and_deactivated_rejected PASSED [ 92%]
tests/integration/execution_test.py::test_cross_user_cannot_use_account PASSED [ 92%]
tests/integration/execution_test.py::test_concurrent_approval_reservations_and_restart_halt PASSED [ 92%]
tests/integration/expense_persistence_test.py::test_concurrent_import_counts_and_override_preservation PASSED [ 93%]
tests/integration/expense_persistence_test.py::test_category_edit_is_scoped_and_audited_without_bank_payload PASSED [ 93%]
tests/integration/expense_persistence_test.py::test_sync_clocks_are_owner_scoped_and_independent_of_transaction_page PASSED [ 93%]
tests/integration/mandates_test.py::test_independent_mandate_approval_cannot_be_replayed_or_self_approved PASSED [ 93%]
tests/integration/mandates_test.py::test_edited_or_expired_mandate_requires_new_proposal PASSED [ 94%]
tests/integration/mandates_test.py::test_autonomous_tick_reserves_once_and_preserves_marked_loss_halt PASSED [ 94%]
tests/integration/mandates_test.py::test_modified_approved_spec_cannot_gain_execution_authority PASSED [ 94%]
tests/integration/mandates_test.py::test_forward_runner_fills_only_approved_fixture_and_deduplicates PASSED [ 94%]
tests/integration/mandates_test.py::test_concurrent_workers_reserve_one_tick_once PASSED [ 95%]
tests/integration/migrations_test.py::test_reviewed_schema_upgrades_without_assigning_unknown_owner PASSED [ 95%]
tests/integration/news_pipeline_test.py::TestIngestArticlesIntegration::test_articles_written_to_db PASSED [ 95%]
tests/integration/news_pipeline_test.py::TestIngestArticlesIntegration::test_duplicate_url_skipped PASSED [ 95%]
tests/integration/news_pipeline_test.py::TestIngestArticlesIntegration::test_missing_url_skipped PASSED [ 96%]
tests/integration/news_pipeline_test.py::TestGetArticleCountIntegration::test_count_matches_db PASSED [ 96%]
tests/integration/news_pipeline_test.py::TestSearchNewsIntegration::test_full_text_search_finds_article PASSED [ 96%]
tests/integration/news_pipeline_test.py::TestSearchNewsIntegration::test_sentiment_filter PASSED [ 96%]
tests/integration/news_pipeline_test.py::TestSearchNewsIntegration::test_empty_query_returns_list PASSED [ 97%]
tests/integration/news_pipeline_test.py::TestGetRecentHeadlinesIntegration::test_returns_most_recent_first PASSED [ 97%]
tests/integration/news_pipeline_test.py::TestGetRecentHeadlinesIntegration::test_limit_respected PASSED [ 97%]
tests/integration/news_privacy_test.py::test_private_news_cannot_cross_users_or_become_public PASSED [ 97%]
tests/integration/news_privacy_test.py::test_corrections_preserve_original_evidence_and_never_backdate_availability PASSED [ 98%]
tests/integration/operations_test.py::test_leases_deduplicate_and_reject_stale_completion PASSED [ 98%]
tests/integration/operations_test.py::test_expired_lease_recovery_does_not_accept_previous_worker PASSED [ 98%]
tests/integration/operations_test.py::test_alert_dedup_ack_reopen_and_delivery_failure PASSED [ 98%]
tests/integration/sessions_test.py::test_logout_revocation_survives_new_session_and_does_not_cross_users PASSED [ 99%]
tests/integration/sessions_test.py::test_deactivation_and_all_session_fence PASSED [ 99%]
tests/integration/sessions_test.py::test_http_rejects_revoked_and_inactive_account PASSED [ 99%]
tests/integration/sessions_test.py::test_mcp_requires_binding_and_rechecks_account_activity PASSED [100%]

============================= 394 passed in 20.69s =============================
